Tweets,len,ID,Date,Source,Likes,RTs,SA
.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP,140,966420452070559749,2018-02-21 21:12:45,Twitter for iPhone,40910,9725,0
"Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to a… https://t.co/PsfNaJrfEB",140,966377081469882368,2018-02-21 18:20:25,Media Studio,45070,9833,1
"Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why… https://t.co/dquN8v8VwU",139,966321700588711936,2018-02-21 14:40:21,Twitter for iPhone,84157,24260,1
The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.,129,966317112565420033,2018-02-21 14:22:07,Twitter for iPhone,113267,24967,1
"@CNN @MSNBC Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!",104,966119932793585664,2018-02-21 01:18:36,Twitter for iPhone,71367,14623,0
"So true, thank you! https://t.co/9TTXlfokYz",43,966118856874971138,2018-02-21 01:14:19,Twitter for iPhone,88297,20033,1
Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably kne… https://t.co/1s5PQaBe2g,144,966117265426001920,2018-02-21 01:08:00,Twitter for iPhone,84866,20497,-1
"Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more… https://t.co/gkJczuVCt6",139,966006815745040384,2018-02-20 17:49:07,Twitter for iPhone,68042,16447,1
....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking mon… https://t.co/OTpK1KLYOL,140,965971586913374208,2018-02-20 15:29:07,Twitter for iPhone,73635,18908,-1
"A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington… https://t.co/lWlDMu6gxb",139,965968309358333952,2018-02-20 15:16:06,Twitter for iPhone,89342,20787,1
"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",87,965943827931549696,2018-02-20 13:38:49,Twitter for iPhone,73114,15633,-1
"Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map, all the way to th… https://t.co/bT190oQKpM",140,965937068907073536,2018-02-20 13:11:58,Twitter for iPhone,73949,19418,1
Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President O… https://t.co/KxKVJL0Bc4,140,965935035328155649,2018-02-20 13:03:53,Twitter for iPhone,47826,9720,1
"Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take a… https://t.co/TQfyR96KP8",140,965932714141650946,2018-02-20 12:54:39,Twitter for iPhone,77087,16546,1
....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and… https://t.co/59Wli8q1pN,139,965930611272712192,2018-02-20 12:46:18,Twitter for iPhone,79500,19757,1
"“There is no serious person out there who would suggest somehow that you could even rig America’s elections, there’… https://t.co/eJ9M6A2H50",140,965928352614965248,2018-02-20 12:37:20,Twitter for iPhone,63424,16752,1
Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russ… https://t.co/SI7CxX4a7C,140,965925223949357056,2018-02-20 12:24:54,Twitter for iPhone,62296,14154,1
"“The Faith of Donald Trump,” a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!",110,965780052167286784,2018-02-20 02:48:02,Twitter for iPhone,65276,12956,1
"The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N",140,965775382598311937,2018-02-20 02:29:29,Twitter for iPhone,116713,24845,1
.@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Sena… https://t.co/h1RaVb2OVj,140,965773283554668544,2018-02-20 02:21:08,Twitter for iPhone,52551,9214,1
"Obama was President up to, and beyond, the 2016 Election. So why didn’t he do something about Russian meddling?",111,965676314576543744,2018-02-19 19:55:49,Twitter for iPhone,88877,21973,0
"Have a great, but very reflective, President’s Day!",51,965582280772276224,2018-02-19 13:42:10,Twitter for iPhone,142857,24030,1
"Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Mi… https://t.co/7iuf59562i",140,965442990134251520,2018-02-19 04:28:40,Twitter for iPhone,152176,34600,-1
"My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family a… https://t.co/EWBOQxPW2S",140,965303158229622785,2018-02-18 19:13:02,Twitter for iPhone,101034,15552,1
"Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, R… https://t.co/XGIgUkn3qK",140,965272331978407937,2018-02-18 17:10:32,Twitter for iPhone,76650,17899,1
Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks.… https://t.co/iIrNmfPgbQ,139,965223354633457665,2018-02-18 13:55:55,Twitter for iPhone,96346,21847,1
The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs,63,965221024496279552,2018-02-18 13:46:39,Twitter for iPhone,76521,19823,-1
"If it was the GOAL of Russia to create discord, disruption and chaos within the U.S. then, with all of the Committe… https://t.co/fx3CPabzTi",140,965212168449941505,2018-02-18 13:11:28,Twitter for iPhone,117779,33213,0
"RT @mike_pence: Big night. Largest-ever Dallas County GOP Reagan Day Dinner. As I told the crowd, under President @realDonaldTrump: Promise…",140,965207569852780544,2018-02-18 12:53:11,Twitter for iPhone,0,12633,0
"Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doin… https://t.co/R2OTHSUYP9",140,965205208191168512,2018-02-18 12:43:48,Twitter for iPhone,89506,19787,0
"I never said Russia did not meddle in the election, I said “it may be Russia, or China or another country or group,… https://t.co/1dMjQbLlSC",140,965202556204003328,2018-02-18 12:33:16,Twitter for iPhone,125671,31584,0
"Finally, Liddle’ Adam Schiff, the leakin’ monster of no control, is now blaming the Obama Administration for Russia… https://t.co/9HNsbaWwWj",140,965199840471810049,2018-02-18 12:22:29,Twitter for iPhone,107898,28486,0
"Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress,… https://t.co/5nQ35ANIrg",140,965194903142719489,2018-02-18 12:02:52,Twitter for iPhone,123134,37951,1
General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians a… https://t.co/ilaHKwf6Jy,140,965079126829871104,2018-02-18 04:22:48,Twitter for iPhone,96272,27124,1
Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable… https://t.co/yvvTEmad2e,140,965075589274177536,2018-02-18 04:08:45,Twitter for iPhone,148460,37214,-1
"Just like they don’t want to solve the DACA problem, why didn’t the Democrats pass gun control legislation when the… https://t.co/c2gS0ByFUw",140,965009332042596352,2018-02-17 23:45:28,Twitter for iPhone,122650,32386,0
“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main go… https://t.co/y4PVZ6KZqv,140,964956781670694912,2018-02-17 20:16:39,Twitter for iPhone,57769,16968,1
"The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads, Rob Goldman! https://t.co/XGC7ynZwYJ",135,964955496137535488,2018-02-17 20:11:32,Twitter for iPhone,60248,18622,-1
"Funny how the Fake News Media doesn’t want to say that the Russian group was formed in 2014, long before my run for… https://t.co/9BPo5EB5WN",140,964949269374529538,2018-02-17 19:46:48,Twitter for iPhone,105566,25665,-1
Deputy A.G. Rod Rosenstein stated at the News Conference: “There is no allegation in the indictment that any Americ… https://t.co/pPhsPl34Ie,140,964946611502747649,2018-02-17 19:36:14,Twitter for iPhone,90039,21967,0
"“Charges Deal Don A Big Win,” written by Michael Goodwin of the @nypost, succinctly states that “the Russians had n… https://t.co/yoFUA9PolC",140,964944088696049666,2018-02-17 19:26:13,Twitter for iPhone,70804,18979,1
"Melania and I met such incredible people last night in Broward County, Florida. Will never forget them, or the evening!",119,964938678362628096,2018-02-17 19:04:43,Twitter for iPhone,96341,14697,1
"Our entire Nation, w/one heavy heart, continues to pray for the victims &amp; their families in Parkland, FL. To teache… https://t.co/jR8THlLD5z",144,964724390637244417,2018-02-17 04:53:13,Twitter for iPhone,117851,24781,-1
"Russia started their anti-US campaign in 2014, long before I announced that I would run for President. The results… https://t.co/B4D7ZcKHPp",139,964594780088033282,2018-02-16 20:18:11,Twitter for iPhone,141865,37453,-1
Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.,132,964512164865363968,2018-02-16 14:49:54,Twitter for iPhone,97205,21942,-1
I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have… https://t.co/1APUFLwj1f,139,964509154357411840,2018-02-16 14:37:56,Twitter for iPhone,119993,19973,0
"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB",131,964232645495459840,2018-02-15 20:19:11,Twitter for iPhone,61654,13595,0
"...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for… https://t.co/ruP4vp9vxa",140,964219299211735040,2018-02-15 19:26:09,Twitter for iPad,59949,15282,-1
The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immi… https://t.co/FegRjpmNZj,140,964219102683377665,2018-02-15 19:25:23,Twitter for iPad,72239,20094,0
"RT @SpoxDHS: Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 millio…",140,964218319783055360,2018-02-15 19:22:16,Twitter for iPad,0,8003,0
"In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are… https://t.co/LraxXxUN3D",139,964190995687591936,2018-02-15 17:33:41,Media Studio,82231,19600,0
"While the Republicans and Democrats in Congress are working hard to come up with a solution to DACA, they should be… https://t.co/qti7gQGh0I",140,964151653669711872,2018-02-15 14:57:21,Twitter for iPhone,100966,20708,-1
"So many signs that the Florida shooter was mentally disturbed, even expelled from school for bad and erratic behavi… https://t.co/3mSYrtTng6",140,964110212885106689,2018-02-15 12:12:41,Twitter for iPhone,89011,20935,-1
Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.,119,963879275324760070,2018-02-14 20:55:01,Twitter for iPhone,111450,19443,-1
"My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or an… https://t.co/RFJxgM1jhm",140,963878055969198080,2018-02-14 20:50:11,Twitter for iPhone,173602,39597,-1
"Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members o… https://t.co/38kUIIV8Cp",140,963853233000275969,2018-02-14 19:11:32,Twitter for iPad,55994,11270,0
"As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts t… https://t.co/SwAJxO88zC",140,963839056533626880,2018-02-14 18:15:12,Media Studio,65018,14925,1
Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn… https://t.co/YW4mCpHr0R,140,963365328716812288,2018-02-13 10:52:47,Twitter for iPhone,106871,22595,0
"Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Demo… https://t.co/2EfB9sObdN",140,963362959463469058,2018-02-13 10:43:22,Twitter for iPhone,105729,22851,1
The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l… https://t.co/DSz3Szp4xE,140,963152799486828544,2018-02-12 20:48:16,Twitter for iPhone,67622,14361,0
"Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words w… https://t.co/0kIdepXBdi",140,963033580107653120,2018-02-12 12:54:32,Twitter for iPhone,86903,16795,1
"This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now ti… https://t.co/OcX7UN18Er",140,963031666150313984,2018-02-12 12:46:56,Twitter for iPhone,139247,30421,-1
Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o… https://t.co/X7AhuEYwHI,140,962787355932360706,2018-02-11 20:36:08,Twitter for iPhone,77539,14884,-1
"Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FAN… https://t.co/dA2lK3WHFU",140,962784821389996033,2018-02-11 20:26:03,Twitter for iPhone,97330,24041,1
4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently… https://t.co/oJl5AiCPZs,139,962767075457593344,2018-02-11 19:15:32,Twitter for iPhone,124855,25018,-1
So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negativ… https://t.co/LBnzRfAkJx,140,962753552824365056,2018-02-11 18:21:48,Twitter for iPhone,123738,31031,1
"My Administration has identified three major priorities for creating a safe, modern and lawful immigration system:… https://t.co/DrjXUak41S",139,962469767109009408,2018-02-10 23:34:08,Media Studio,119182,31968,1
"My thoughts and prayers are with the two police officers, their families, and everybody at the @WestervillePD. https://t.co/AoingY77Ky",134,962435602296786944,2018-02-10 21:18:23,Twitter for iPhone,84938,20463,0
Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in… https://t.co/0Or3U2CFZR,139,962398269593784321,2018-02-10 18:50:02,Twitter for iPhone,118118,30479,1
"....agencies, not just the FBI &amp; DOJ, now the State Department to dig up dirt on him in the days leading up to the… https://t.co/Of9d7fmsA3",143,962394439846191105,2018-02-10 18:34:49,Twitter for iPhone,75735,19929,0
“My view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier… https://t.co/dWJuKECfwn,139,962389786328797184,2018-02-10 18:16:20,Twitter for iPhone,101444,25811,0
Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are ol… https://t.co/6Zz5RAeoQe,140,962348831789797381,2018-02-10 15:33:35,Twitter for iPhone,136879,37225,-1
"According to the @nytimes, a Russian sold phony secrets on “Trump” to the U.S. Asking price was $10 million, brough… https://t.co/CBMaAX5VMt",140,962345433170415616,2018-02-10 15:20:05,Twitter for iPhone,105715,32818,0
"The Democrats sent a very political and long response memo which they knew, because of sources and methods (and mor… https://t.co/iR1265rmh3",140,962330457886076928,2018-02-10 14:20:35,Twitter for iPhone,117672,32317,-1
Jobless claims have dropped to a 45 year low!,45,962326008127946752,2018-02-10 14:02:54,Twitter for iPhone,64858,13793,0
"Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyo… https://t.co/WgvQYGEaMu",140,961962694650757121,2018-02-09 13:59:13,Twitter for iPhone,89616,21412,-1
"Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order… https://t.co/7dfsJYWjRY",140,961959738853548033,2018-02-09 13:47:28,Twitter for iPhone,110594,28087,1
Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them e… https://t.co/9MtCabhzj8,140,961957671246159875,2018-02-09 13:39:15,Twitter for iPhone,130508,27208,1
Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did no… https://t.co/N5SoaLnllm,140,961802557646569475,2018-02-09 03:22:53,Twitter for iPhone,127893,39883,1
Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X,120,961743032952459264,2018-02-08 23:26:22,Twitter for iPhone,97865,24099,1
As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the l… https://t.co/wGUIaD1JX6,140,961693860916289536,2018-02-08 20:10:58,Twitter for iPad,110269,30733,1
"I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea, China and the Middle East.",108,961671974153080834,2018-02-08 18:44:00,Twitter for iPhone,79920,13598,0
Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TR… https://t.co/q8ib233y1M,140,961649129834283008,2018-02-08 17:13:13,Twitter for iPad,107074,29332,0
Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and po… https://t.co/bEReTLNLo4,140,961557382387167238,2018-02-08 11:08:39,Twitter for iPhone,106373,17843,1
The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secret… https://t.co/VRkKsNDZGC,140,961368036782628864,2018-02-07 22:36:15,Twitter for iPhone,109454,23182,1
Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean peopl… https://t.co/gGaZUnZBMa,140,961362249880252416,2018-02-07 22:13:16,Media Studio,70566,13317,1
Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that y… https://t.co/NL6cIfHZgN,140,961298788219420672,2018-02-07 18:01:05,Media Studio,65494,12756,1
NEW FBI TEXTS ARE BOMBSHELLS!,29,961270833569202176,2018-02-07 16:10:00,Twitter for iPhone,138243,39804,1
"In the “old days,” when good news was reported, the Stock Market would go up. Today, when good news is reported, th… https://t.co/mW5vEWhZYY",140,961253168968622086,2018-02-07 14:59:49,Twitter for iPhone,112673,21970,1
"Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement, along with @NASA’s c… https://t.co/MaQocjQKcI",140,961073467784421382,2018-02-07 03:05:45,Twitter for iPhone,167605,31689,1
"HAPPY BIRTHDAY to our 40th President of the United States of America, Ronald Reagan! https://t.co/JtEglBhm4c",108,961038807658352640,2018-02-07 00:48:01,Twitter for iPhone,181706,33004,1
"Today, we heard the experiences of law enforcement professionals and community leaders working to combat the threat… https://t.co/BAHG9Ajkio",140,961008057756127232,2018-02-06 22:45:50,Media Studio,76123,18359,0
We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs… https://t.co/5SzmbuLXuY,139,960907362109452288,2018-02-06 16:05:42,Twitter for iPhone,92749,25633,-1
"Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA, fully secures the… https://t.co/OD93mZebu7",139,960906105982464000,2018-02-06 16:00:43,Twitter for iPhone,89740,23602,1
"My prayers and best wishes are with the family of Edwin Jackson, a wonderful young man whose life was so senselessly taken. @Colts",130,960869939694505984,2018-02-06 13:37:00,Twitter for iPhone,104740,20920,1
So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of m… https://t.co/r8vqtb4Tjb,140,960868920428253184,2018-02-06 13:32:57,Twitter for iPhone,142987,36098,-1
"Thanks to the historic TAX CUTS that I signed into law, your paychecks are going way UP, your taxes are going way D… https://t.co/DKVuox1qa6",140,960614513224667136,2018-02-05 20:42:01,Twitter for iPhone,105963,22850,1
"Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Her… https://t.co/p7egMdnqQs",140,960530665702912000,2018-02-05 15:08:51,Twitter for iPhone,133763,35739,1
